Source,Target,Type
1,1,Undirected
1,2,Undirected
1,3,Undirected
1,4,Undirected
1,5,Undirected
1,6,Undirected
1,7,Undirected
1,8,Undirected
1,9,Undirected
1,10,Undirected
2,2,Undirected
2,1,Undirected
2,4,Undirected
2,3,Undirected
2,5,Undirected
2,8,Undirected
2,6,Undirected
2,11,Undirected
2,9,Undirected
2,7,Undirected
3,3,Undirected
3,1,Undirected
3,2,Undirected
3,4,Undirected
3,5,Undirected
3,8,Undirected
3,6,Undirected
3,9,Undirected
3,12,Undirected
3,11,Undirected
4,4,Undirected
4,2,Undirected
4,1,Undirected
4,8,Undirected
4,3,Undirected
4,11,Undirected
4,5,Undirected
4,13,Undirected
4,6,Undirected
4,9,Undirected
6,6,Undirected
6,1,Undirected
6,2,Undirected
6,14,Undirected
6,7,Undirected
6,3,Undirected
6,10,Undirected
6,4,Undirected
6,15,Undirected
6,5,Undirected
5,5,Undirected
5,1,Undirected
5,2,Undirected
5,3,Undirected
5,4,Undirected
5,9,Undirected
5,8,Undirected
5,11,Undirected
5,6,Undirected
5,12,Undirected
8,8,Undirected
8,2,Undirected
8,4,Undirected
8,1,Undirected
8,11,Undirected
8,3,Undirected
8,13,Undirected
8,5,Undirected
8,6,Undirected
8,16,Undirected
7,7,Undirected
7,1,Undirected
7,6,Undirected
7,2,Undirected
7,3,Undirected
7,5,Undirected
7,10,Undirected
7,17,Undirected
7,4,Undirected
7,14,Undirected
11,11,Undirected
11,2,Undirected
11,4,Undirected
11,8,Undirected
11,1,Undirected
11,13,Undirected
11,5,Undirected
11,3,Undirected
11,16,Undirected
11,12,Undirected
15,15,Undirected
15,1,Undirected
15,2,Undirected
15,6,Undirected
15,8,Undirected
15,3,Undirected
15,4,Undirected
15,5,Undirected
15,14,Undirected
15,11,Undirected
18,18,Undirected
18,19,Undirected
18,20,Undirected
18,21,Undirected
18,22,Undirected
18,23,Undirected
18,24,Undirected
18,25,Undirected
18,26,Undirected
18,27,Undirected
27,27,Undirected
27,28,Undirected
27,19,Undirected
27,24,Undirected
27,21,Undirected
27,18,Undirected
27,26,Undirected
27,23,Undirected
27,29,Undirected
27,30,Undirected
24,24,Undirected
24,25,Undirected
24,26,Undirected
24,31,Undirected
24,20,Undirected
24,27,Undirected
24,18,Undirected
24,23,Undirected
24,21,Undirected
24,19,Undirected
19,19,Undirected
19,18,Undirected
19,20,Undirected
19,21,Undirected
19,27,Undirected
19,22,Undirected
19,23,Undirected
19,24,Undirected
19,32,Undirected
19,28,Undirected
26,26,Undirected
26,31,Undirected
26,24,Undirected
26,25,Undirected
26,18,Undirected
26,27,Undirected
26,20,Undirected
26,19,Undirected
26,28,Undirected
26,23,Undirected
28,28,Undirected
28,27,Undirected
28,24,Undirected
28,19,Undirected
28,29,Undirected
28,30,Undirected
28,21,Undirected
28,18,Undirected
28,26,Undirected
28,23,Undirected
20,20,Undirected
20,22,Undirected
20,18,Undirected
20,19,Undirected
20,24,Undirected
20,21,Undirected
20,23,Undirected
