Source,Target,Type
2,1,Undirected
3,2,Undirected
4,1,Undirected
6,5,Undirected
7,2,Undirected
2,1,Undirected
4,1,Undirected
3,2,Undirected
3,1,Undirected
6,5,Undirected
7,1,Undirected
8,1,Undirected
7,2,Undirected
3,2,Undirected
4,1,Undirected
2,1,Undirected
3,1,Undirected
6,5,Undirected
9,3,Undirected
9,10,Undirected
7,2,Undirected
4,1,Undirected
2,1,Undirected
3,2,Undirected
6,5,Undirected
12,11,Undirected
9,10,Undirected
3,1,Undirected
7,2,Undirected
6,5,Undirected
4,1,Undirected
3,2,Undirected
2,1,Undirected
12,11,Undirected
13,5,Undirected
3,2,Undirected
2,1,Undirected
4,1,Undirected
7,2,Undirected
7,1,Undirected
6,5,Undirected
9,10,Undirected
7,14,Undirected
4,1,Undirected
2,1,Undirected
12,11,Undirected
3,2,Undirected
6,5,Undirected
9,10,Undirected
11,10,Undirected
7,2,Undirected
3,2,Undirected
2,1,Undirected
6,5,Undirected
4,1,Undirected
13,5,Undirected
4,1,Undirected
2,1,Undirected
3,2,Undirected
12,11,Undirected
9,10,Undirected
6,5,Undirected
7,2,Undirected
4,16,Undirected
7,1,Undirected
6,5,Undirected
12,11,Undirected
4,1,Undirected
3,2,Undirected
12,2,Undirected
2,1,Undirected
18,17,Undirected
20,19,Undirected
22,21,Undirected
24,23,Undirected
26,25,Undirected
28,27,Undirected
27,17,Undirected
30,29,Undirected
31,17,Undirected
32,31,Undirected
26,25,Undirected
18,17,Undirected
24,23,Undirected
20,19,Undirected
28,27,Undirected
34,33,Undirected
26,18,Undirected
20,26,Undirected
22,21,Undirected
28,27,Undirected
24,23,Undirected
21,28,Undirected
26,25,Undirected
20,19,Undirected
18,17,Undirected
28,24,Undirected
22,21,Undirected
19,28,Undirected
18,17,Undirected
20,19,Undirected
26,25,Undirected
22,21,Undirected
24,23,Undirected
28,27,Undirected
26,18,Undirected
30,29,Undirected
21,18,Undirected
24,23,Undirected
28,27,Undirected
26,25,Undirected
18,17,Undirected
28,24,Undirected
20,19,Undirected
21,28,Undirected
32,31,Undirected
22,21,Undirected
26,25,Undirected
24,23,Undirected
20,19,Undirected
18,17,Undirected
34,33,Undirected
28,27,Undirected
22,21,Undirected
30,29,Undirected
36,35,Undirected
22,21,Undirected
21,28,Undirected
18,17,Undirected
20,19,Undirected
24,23,Undirected
26,25,Undirected
28,27,Undirected
30,29,Undirected
21,18,Undirected
21,17,Undirected
24,23,Undirected
28,27,Undirected
26,25,Undirected
18,17,Undirected
20,19,Undirected
21,28,Undirected
22,21,Undirected
28,24,Undirected
32,31,Undirected
20,19,Undirected
18,17,Undirected
26,25,Undirected
24,23,Undirected
22,21,Undirected
30,29,Undirected
28,27,Undirected
20,26,Undirected
38,37,Undirected
28,27,Undirected
24,23,Undirected
18,17,Undirected
26,25,Undirected
20,19,Undirected
27,17,Undirected
22,21,Undirected
21,28,Undirected
30,29,Undirected
40,39,Undirected
40,41,Undirected
39,42,Undirected
44,43,Undirected
40,43,Undirected
40,42,Undirected
46,45,Undirected
40,47,Undirected
44,43,Undirected
48,43,Undirected
40,39,Undirected
43,42,Undirected
49,43,Undirected
40,43,Undirected
39,42,Undirected
50,43,Undirected
40,41,Undirected
52,51,Undirected
40,39,Undirected
39,42,Undirected
40,41,Undirected
39,41,Undirected
39,53,Undirected
44,43,Undirected
39,42,Undirected
40,39,Undirected
43,42,Undirected
40,41,Undirected
40,42,Undirected
54,42,Undirected
44,43,Undirected
46,45,Undirected
40,39,Undirected
39,53,Undirected
55,53,Undirected
39,42,Undirected
53,42,Undirected
53,56,Undirected
40,53,Undirected
40,41,Undirected
52,51,Undirected
40,41,Undirected
40,39,Undirected
39,41,Undirected
39,42,Undirected
46,45,Undirected
58,57,Undirected
40,42,Undirected
54,59,Undirected
60,41,Undirected
44,43,Undirected
44,43,Undirected
40,39,Undirected
40,41,Undirected
50,44,Undirected
39,42,Undirected
46,45,Undirected
40,39,Undirected
46,45,Undirected
40,41,Undirected
39,42,Undirected
40,45,Undirected
45,57,Undirected
45,42,Undirected
54,59,Undirected
54,45,Undirected
44,43,Undirected
40,39,Undirected
39,42,Undirected
54,42,Undirected
40,41,Undirected
54,59,Undirected
46,45,Undirected
43,42,Undirected
54,45,Undirected
58,57,Undirected
48,43,Undirected
52,51,Undirected
40,39,Undirected
48,61,Undirected
48,62,Undirected
63,61,Undirected
39,42,Undirected
48,64,Undirected
66,65,Undirected
67,65,Undirected
8,65,Undirected
68,65,Undirected
70,69,Undirected
72,71,Undirected
66,73,Undirected
75,74,Undirected
66,65,Undirected
70,69,Undirected
66,76,Undirected
66,73,Undirected
72,71,Undirected
67,65,Undirected
66,70,Undirected
75,74,Undirected
8,66,Undirected
66,65,Undirected
66,76,Undirected
70,69,Undirected
72,71,Undirected
66,73,Undirected
67,65,Undirected
70,76,Undirected
77,76,Undirected
75,74,Undirected
79,78,Undirected
67,65,Undirected
66,65,Undirected
70,69,Undirected
72,71,Undirected
8,65,Undirected
75,74,Undirected
68,65,Undirected
79,78,Undirected
70,69,Undirected
66,65,Undirected
72,71,Undirected
66,70,Undirected
70,76,Undirected
75,74,Undirected
79,78,Undirected
66,76,Undirected
66,73,Undirected
66,65,Undirected
66,73,Undirected
70,69,Undirected
72,71,Undirected
77,73,Undirected
67,65,Undirected
66,76,Undirected
75,74,Undirected
79,78,Undirected
70,73,Undirected
66,65,Undirected
67,65,Undirected
68,65,Undirected
70,69,Undirected
72,71,Undirected
8,65,Undirected
75,74,Undirected
66,73,Undirected
66,65,Undirected
70,69,Undirected
72,71,Undirected
75,74,Undirected
66,73,Undirected
79,78,Undirected
67,65,Undirected
66,76,Undirected
8,65,Undirected
77,73,Undirected
70,69,Undirected
66,65,Undirected
72,71,Undirected
75,74,Undirected
79,78,Undirected
66,76,Undirected
67,65,Undirected
77,73,Undirected
66,70,Undirected
66,65,Undirected
70,69,Undirected
72,71,Undirected
75,74,Undirected
79,78,Undirected
66,73,Undirected
67,65,Undirected
66,76,Undirected
77,76,Undirected
8,65,Undirected
81,80,Undirected
83,82,Undirected
81,84,Undirected
85,81,Undirected
87,86,Undirected
89,88,Undirected
90,80,Undirected
81,80,Undirected
83,82,Undirected
81,84,Undirected
87,86,Undirected
90,80,Undirected
92,91,Undirected
81,80,Undirected
83,82,Undirected
81,84,Undirected
87,86,Undirected
81,82,Undirected
89,88,Undirected
94,93,Undirected
81,80,Undirected
83,82,Undirected
87,86,Undirected
81,84,Undirected
94,93,Undirected
89,88,Undirected
96,95,Undirected
81,80,Undirected
83,82,Undirected
92,91,Undirected
87,86,Undirected
91,97,Undirected
81,84,Undirected
96,95,Undirected
81,80,Undirected
83,82,Undirected
99,98,Undirected
87,86,Undirected
81,84,Undirected
81,80,Undirected
83,82,Undirected
99,98,Undirected
81,84,Undirected
87,86,Undirected
96,95,Undirected
81,80,Undirected
83,82,Undirected
87,86,Undirected
81,84,Undirected
81,100,Undirected
89,88,Undirected
81,84,Undirected
81,80,Undirected
83,82,Undirected
87,86,Undirected
84,80,Undirected
90,80,Undirected
89,88,Undirected
90,84,Undirected
81,80,Undirected
83,82,Undirected
87,86,Undirected
81,84,Undirected
89,88,Undirected
85,81,Undirected
94,93,Undirected
90,80,Undirected
102,101,Undirected
104,103,Undirected
105,102,Undirected
106,102,Undirected
101,103,Undirected
108,107,Undirected
109,102,Undirected
111,110,Undirected
102,103,Undirected
112,102,Undirected
102,101,Undirected
101,103,Undirected
104,103,Undirected
105,102,Undirected
106,103,Undirected
102,103,Undirected
108,107,Undirected
106,102,Undirected
111,110,Undirected
102,101,Undirected
101,103,Undirected
104,103,Undirected
105,102,Undirected
108,107,Undirected
114,113,Undirected
101,115,Undirected
106,102,Undirected
116,101,Undirected
102,101,Undirected
104,103,Undirected
105,102,Undirected
101,103,Undirected
108,107,Undirected
106,102,Undirected
104,102,Undirected
102,103,Undirected
111,110,Undirected
106,102,Undirected
106,103,Undirected
102,101,Undirected
111,110,Undirected
108,107,Undirected
104,103,Undirected
106,108,Undirected
106,111,Undirected
114,113,Undirected
108,107,Undirected
111,110,Undirected
102,101,Undirected
104,103,Undirected
118,117,Undirected
110,107,Undirected
119,108,Undirected
108,107,Undirected
111,110,Undirected
119,108,Undirected
102,101,Undirected
106,108,Undirected
104,103,Undirected
118,117,Undirected
